,asin,positive about carrier,negative about carrier,positive about phone unlocking,negative about phone unlocking,positive about design,negative about design,positive about camera,negative about camera,positive about OS,negative about OS,positive about memory,negative about memory,positive about battery,negative about battery,positive about network,negative about network,positive about apps,negative about apps,positive about customer service,negative about customer service,positive about brand,negative about brand,positive about screen,negative about screen,positive about price,negative about price,positive about purchase experience,negative about purchase experience,overall postive feedback,overall negative feedback,rating,overall neutral,overall positive,overall negative
52,B077YTCMH9,0.35,0.16,0.13,0.07,0.49,0.27,0.1,0.04,0.14,0.02,0.03,0.02,0.04,0.06,0.24,0.15,0.07,0.01,0.48,0.28,0.52,0.26,0.25,0.18,0.24,0.08,0.55,0.35,0.57,0.33,3.6,0.11,0.56,0.32
53,B0787V183F,0.24,0.12,0.08,0.07,0.48,0.25,0.16,0.05,0.17,0.03,0.03,0.01,0.04,0.1,0.2,0.09,0.04,0.02,0.44,0.26,0.5,0.26,0.22,0.06,0.19,0.08,0.54,0.37,0.58,0.33,3.55,0.15,0.55,0.3
54,B07BFCZYRM,0.44,0.14,0.13,0.08,0.64,0.17,0.14,0.01,0.14,0.02,0.01,0.0,0.06,0.06,0.34,0.13,0.04,0.02,0.6,0.21,0.65,0.19,0.3,0.09,0.3,0.06,0.71,0.21,0.71,0.2,4.14,0.13,0.69,0.18
55,B07C6FCC8G,0.23,0.03,0.09,0.02,0.66,0.12,0.25,0.02,0.16,0.03,0.02,0.01,0.22,0.03,0.2,0.04,0.08,0.01,0.36,0.14,0.68,0.12,0.26,0.04,0.25,0.04,0.68,0.16,0.76,0.19,4.3,0.09,0.74,0.17
56,B07CMBB6PH,0.42,0.09,0.08,0.03,0.69,0.14,0.19,0.02,0.11,0.01,0.04,0.03,0.08,0.04,0.27,0.1,0.1,0.02,0.5,0.14,0.68,0.13,0.39,0.08,0.34,0.05,0.72,0.2,0.75,0.2,4.16,0.07,0.74,0.19
57,B07D6TQP6F,0.32,0.16,0.08,0.1,0.5,0.26,0.07,0.05,0.14,0.01,0.02,0.04,0.09,0.05,0.17,0.12,0.09,0.01,0.46,0.29,0.49,0.25,0.24,0.17,0.23,0.07,0.54,0.33,0.57,0.36,3.62,0.1,0.55,0.34
58,B07FM9913M,0.34,0.07,0.07,0.04,0.67,0.11,0.25,0.04,0.17,0.02,0.06,0.02,0.1,0.11,0.28,0.08,0.14,0.01,0.46,0.11,0.67,0.12,0.33,0.08,0.46,0.07,0.72,0.2,0.76,0.21,4.29,0.1,0.73,0.18
59,B07FZH9BGV,0.28,0.12,0.09,0.08,0.57,0.14,0.13,0.02,0.12,0.01,0.04,0.0,0.11,0.01,0.26,0.12,0.09,0.01,0.4,0.2,0.6,0.21,0.36,0.04,0.23,0.09,0.61,0.26,0.66,0.28,4.12,0.11,0.64,0.25
60,B07HD3QC65,0.11,0.1,0.04,0.03,0.43,0.29,0.12,0.06,0.22,0.04,0.02,0.01,0.12,0.12,0.12,0.11,0.05,0.02,0.15,0.31,0.43,0.36,0.18,0.09,0.24,0.09,0.43,0.45,0.5,0.51,3.12,0.12,0.44,0.45
61,B07HFHX6HX,0.42,0.1,0.14,0.06,0.64,0.12,0.1,0.04,0.14,0.02,0.04,0.02,0.05,0.06,0.3,0.08,0.07,0.01,0.58,0.11,0.64,0.1,0.34,0.08,0.26,0.04,0.67,0.18,0.7,0.2,4.1,0.16,0.67,0.17
62,B07HK4JNV1,0.34,0.05,0.1,0.04,0.69,0.12,0.2,0.03,0.14,0.02,0.04,0.01,0.14,0.05,0.25,0.06,0.11,0.02,0.44,0.1,0.67,0.1,0.36,0.06,0.35,0.03,0.75,0.15,0.77,0.16,4.33,0.1,0.75,0.14
63,B07J4Z9647,0.39,0.09,0.09,0.03,0.72,0.1,0.28,0.04,0.16,0.01,0.04,0.02,0.14,0.02,0.3,0.08,0.11,0.02,0.49,0.09,0.74,0.1,0.42,0.06,0.42,0.04,0.78,0.13,0.8,0.15,4.42,0.09,0.78,0.13
64,B07NPRQYP1,0.28,0.15,0.07,0.04,0.55,0.18,0.12,0.06,0.12,0.03,0.03,0.02,0.27,0.04,0.21,0.19,0.08,0.02,0.35,0.2,0.57,0.19,0.22,0.07,0.28,0.05,0.6,0.26,0.63,0.3,3.91,0.11,0.61,0.28
65,B07PY52GVP,0.36,0.06,0.08,0.03,0.68,0.11,0.18,0.02,0.15,0.02,0.04,0.01,0.13,0.04,0.26,0.07,0.08,0.02,0.48,0.1,0.72,0.08,0.3,0.05,0.44,0.04,0.73,0.12,0.77,0.18,4.42,0.09,0.75,0.16
66,B07Q26V49K,0.39,0.08,0.12,0.05,0.64,0.11,0.25,0.04,0.13,0.02,0.04,0.01,0.15,0.04,0.27,0.09,0.1,0.02,0.44,0.15,0.68,0.15,0.36,0.08,0.45,0.05,0.7,0.22,0.76,0.2,4.35,0.08,0.74,0.18
67,B07Q84DPZH,0.47,0.14,0.1,0.07,0.67,0.15,0.14,0.02,0.1,0.01,0.04,0.02,0.05,0.02,0.3,0.11,0.1,0.02,0.55,0.16,0.69,0.16,0.35,0.08,0.37,0.04,0.7,0.2,0.73,0.22,4.12,0.08,0.71,0.2
68,B07QQYHSR5,0.33,0.12,0.08,0.08,0.62,0.15,0.18,0.03,0.11,0.01,0.05,0.04,0.09,0.01,0.22,0.12,0.1,0.02,0.44,0.17,0.62,0.15,0.3,0.08,0.33,0.05,0.65,0.22,0.7,0.25,4.14,0.11,0.67,0.22
69,B07RWFC6NY,0.29,0.07,0.11,0.07,0.62,0.12,0.2,0.03,0.07,0.01,0.08,0.03,0.12,0.02,0.24,0.06,0.08,0.02,0.35,0.13,0.6,0.12,0.34,0.08,0.36,0.05,0.68,0.18,0.72,0.22,4.26,0.12,0.69,0.2
70,B07VZL3L5V,0.37,0.1,0.09,0.05,0.7,0.11,0.12,0.02,0.11,0.01,0.03,0.02,0.08,0.02,0.28,0.09,0.08,0.01,0.49,0.14,0.7,0.11,0.38,0.06,0.38,0.04,0.74,0.17,0.77,0.16,4.34,0.1,0.75,0.15
71,B07WSJYDXX,0.19,0.1,0.11,0.06,0.54,0.18,0.14,0.05,0.14,0.03,0.05,0.01,0.17,0.08,0.17,0.11,0.05,0.02,0.26,0.19,0.52,0.22,0.22,0.07,0.32,0.06,0.56,0.32,0.58,0.34,3.72,0.1,0.57,0.33
